"country","continent","year","lifeExp","pop","gdpPercap"
"Romania","Europe",1987,69.53,22686371,9696.273295
"Romania","Europe",1992,69.36,22797027,6598.409903
"Romania","Europe",1997,69.72,22562458,7346.547557
"Romania","Europe",2002,71.322,22404337,7885.360081
"Romania","Europe",2007,72.476,22276056,10808.47561
"Serbia","Europe",1952,57.996,6860147,3581.459448
"Serbia","Europe",1957,61.685,7271135,4981.090891
"Serbia","Europe",1962,64.531,7616060,6289.629157
"Serbia","Europe",1967,66.914,7971222,7991.707066
"Serbia","Europe",1972,68.7,8313288,10522.06749
"Serbia","Europe",1977,70.3,8686367,12980.66956
"Serbia","Europe",1982,70.162,9032824,15181.0927
"Serbia","Europe",1987,71.218,9230783,15870.87851
"Serbia","Europe",1992,71.659,9826397,9325.068238
"Serbia","Europe",1997,72.232,10336594,7914.320304
"Serbia","Europe",2002,73.213,10111559,7236.075251
"Serbia","Europe",2007,74.002,10150265,9786.534714
"Slovak Republic","Europe",1952,64.36,3558137,5074.659104
"Slovak Republic","Europe",1957,67.45,3844277,6093.26298
"Slovak Republic","Europe",1962,70.33,4237384,7481.107598
"Slovak Republic","Europe",1967,70.98,4442238,8412.902397
"Slovak Republic","Europe",1972,70.35,4593433,9674.167626
"Slovak Republic","Europe",1977,70.45,4827803,10922.66404
"Slovak Republic","Europe",1982,70.8,5048043,11348.54585
"Slovak Republic","Europe",1987,71.08,5199318,12037.26758
"Slovak Republic","Europe",1992,71.38,5302888,9498.467723
"Slovak Republic","Europe",1997,72.71,5383010,12126.23065
"Slovak Republic","Europe",2002,73.8,5410052,13638.77837
"Slovak Republic","Europe",2007,74.663,5447502,18678.31435
"Slovenia","Europe",1952,65.57,1489518,4215.041741
"Slovenia","Europe",1957,67.85,1533070,5862.276629
"Slovenia","Europe",1962,69.15,1582962,7402.303395
"Slovenia","Europe",1967,69.18,1646912,9405.489397
"Slovenia","Europe",1972,69.82,1694510,12383.4862
"Slovenia","Europe",1977,70.97,1746919,15277.03017
"Slovenia","Europe",1982,71.063,1861252,17866.72175
"Slovenia","Europe",1987,72.25,1945870,18678.53492
"Slovenia","Europe",1992,73.64,1999210,14214.71681
"Slovenia","Europe",1997,75.13,2011612,17161.10735
"Slovenia","Europe",2002,76.66,2011497,20660.01936
"Slovenia","Europe",2007,77.926,2009245,25768.25759
"Spain","Europe",1952,64.94,28549870,3834.034742
"Spain","Europe",1957,66.66,29841614,4564.80241
"Spain","Europe",1962,69.69,31158061,5693.843879
"Spain","Europe",1967,71.44,32850275,7993.512294
"Spain","Europe",1972,73.06,34513161,10638.75131
"Spain","Europe",1977,74.39,36439000,13236.92117
"Spain","Europe",1982,76.3,37983310,13926.16997
"Spain","Europe",1987,76.9,38880702,15764.98313
"Spain","Europe",1992,77.57,39549438,18603.06452
"Spain","Europe",1997,78.77,39855442,20445.29896
"Spain","Europe",2002,79.78,40152517,24835.47166
"Spain","Europe",2007,80.941,40448191,28821.0637
"Sweden","Europe",1952,71.86,7124673,8527.844662
"Sweden","Europe",1957,72.49,7363802,9911.878226
"Sweden","Europe",1962,73.37,7561588,12329.44192
"Sweden","Europe",1967,74.16,7867931,15258.29697
"Sweden","Europe",1972,74.72,8122293,17832.02464
"Sweden","Europe",1977,75.44,8251648,18855.72521
"Sweden","Europe",1982,76.42,8325260,20667.38125
"Sweden","Europe",1987,77.19,8421403,23586.92927
"Sweden","Europe",1992,78.16,8718867,23880.01683
"Sweden","Europe",1997,79.39,8897619,25266.59499
"Sweden","Europe",2002,80.04,8954175,29341.63093
"Sweden","Europe",2007,80.884,9031088,33859.74835
"Switzerland","Europe",1952,69.62,4815000,14734.23275
"Switzerland","Europe",1957,70.56,5126000,17909.48973
"Switzerland","Europe",1962,71.32,5666000,20431.0927
"Switzerland","Europe",1967,72.77,6063000,22966.14432
"Switzerland","Europe",1972,73.78,6401400,27195.11304
"Switzerland","Europe",1977,75.39,6316424,26982.29052
"Switzerland","Europe",1982,76.21,6468126,28397.71512
"Switzerland","Europe",1987,77.41,6649942,30281.70459
"Switzerland","Europe",1992,78.03,6995447,31871.5303
"Switzerland","Europe",1997,79.37,7193761,32135.32301
"Switzerland","Europe",2002,80.62,7361757,34480.95771
"Switzerland","Europe",2007,81.701,7554661,37506.41907
"Trinidad and Tobago","Americas",1952,59.1,662850,3023.271928
"Trinidad and Tobago","Americas",1957,61.8,764900,4100.3934
"Trinidad and Tobago","Americas",1962,64.9,887498,4997.523971
"Trinidad and Tobago","Americas",1967,65.4,960155,5621.368472
"Trinidad and Tobago","Americas",1972,65.9,975199,6619.551419
"Trinidad and Tobago","Americas",1977,68.3,1039009,7899.554209
"Trinidad and Tobago","Americas",1982,68.832,1116479,9119.528607
"Trinidad and Tobago","Americas",1987,69.582,1191336,7388.597823
"Trinidad and Tobago","Americas",1992,69.862,1183669,7370.990932
"Trinidad and Tobago","Americas",1997,69.465,1138101,8792.573126
"Trinidad and Tobago","Americas",2002,68.976,1101832,11460.60023
"Trinidad and Tobago","Americas",2007,69.819,1056608,18008.50924
"Turkey","Europe",1952,43.585,22235677,1969.10098
"Turkey","Europe",1957,48.079,25670939,2218.754257
"Turkey","Europe",1962,52.098,29788695,2322.869908
"Turkey","Europe",1967,54.336,33411317,2826.356387
"Turkey","Europe",1972,57.005,37492953,3450.69638
"Turkey","Europe",1977,59.507,42404033,4269.122326
"Turkey","Europe",1982,61.036,47328791,4241.356344
"Turkey","Europe",1987,63.108,52881328,5089.043686
"Turkey","Europe",1992,66.146,58179144,5678.348271
"Turkey","Europe",1997,68.835,63047647,6601.429915
"Turkey","Europe",2002,70.845,67308928,6508.085718
"Turkey","Europe",2007,71.777,71158647,8458.276384
"United Kingdom","Europe",1952,69.18,50430000,9979.508487
"United Kingdom","Europe",1957,70.42,51430000,11283.17795
"United Kingdom","Europe",1962,70.76,53292000,12477.17707
"United Kingdom","Europe",1967,71.36,54959000,14142.85089
"United Kingdom","Europe",1972,72.01,56079000,15895.11641
"United Kingdom","Europe",1977,72.76,56179000,17428.74846
"United Kingdom","Europe",1982,74.04,56339704,18232.42452
"United Kingdom","Europe",1987,75.007,56981620,21664.78767
"United Kingdom","Europe",1992,76.42,57866349,22705.09254
"United Kingdom","Europe",1997,77.218,58808266,26074.53136
"United Kingdom","Europe",2002,78.471,59912431,29478.99919
"United Kingdom","Europe",2007,79.425,60776238,33203.26128
"United States","Americas",1952,68.44,157553000,13990.48208
"United States","Americas",1957,69.49,171984000,14847.12712
"United States","Americas",1962,70.21,186538000,16173.14586
"United States","Americas",1967,70.76,198712000,19530.36557
"United States","Americas",1972,71.34,209896000,21806.03594
"United States","Americas",1977,73.38,220239000,24072.63213
"United States","Americas",1982,74.65,232187835,25009.55914
"United States","Americas",1987,75.02,242803533,29884.35041
"United States","Americas",1992,76.09,256894189,32003.93224
"United States","Americas",1997,76.81,272911760,35767.43303
"United States","Americas",2002,77.31,287675526,39097.09955
"United States","Americas",2007,78.242,301139947,42951.65309
"Uruguay","Americas",1952,66.071,2252965,5716.766744
"Uruguay","Americas",1957,67.044,2424959,6150.772969
"Uruguay","Americas",1962,68.253,2598466,5603.357717
"Uruguay","Americas",1967,68.468,2748579,5444.61962
"Uruguay","Americas",1972,68.673,2829526,5703.408898
"Uruguay","Americas",1977,69.481,2873520,6504.339663
"Uruguay","Americas",1982,70.805,2953997,6920.223051
"Uruguay","Americas",1987,71.918,3045153,7452.398969
"Uruguay","Americas",1992,72.752,3149262,8137.004775
"Uruguay","Americas",1997,74.223,3262838,9230.240708
"Uruguay","Americas",2002,75.307,3363085,7727.002004
"Uruguay","Americas",2007,76.384,3447496,10611.46299
"Venezuela","Americas",1952,55.088,5439568,7689.799761
"Venezuela","Americas",1957,57.907,6702668,9802.466526
"Venezuela","Americas",1962,60.77,8143375,8422.974165
"Venezuela","Americas",1967,63.479,9709552,9541.474188
"Venezuela","Americas",1972,65.712,11515649,10505.25966
"Venezuela","Americas",1977,67.456,13503563,13143.95095
"Venezuela","Americas",1982,68.557,15620766,11152.41011
"Venezuela","Americas",1987,70.19,17910182,9883.584648
"Venezuela","Americas",1992,71.15,20265563,10733.92631
"Venezuela","Americas",1997,72.146,22374398,10165.49518
"Venezuela","Americas",2002,72.766,24287670,8605.047831
"Venezuela","Americas",2007,73.747,26084662,11415.80569
